Index,name,latitude,longitude,distance,climb,descent,hours,minutes,seconds,difficulty
383,Slingshot,33.33949,-86.73202,15312,396,445,0,30,19,2
384,Smokerise Trail,34.65042,-86.53097,7392,412,134,0,27,28,3
385,Smythe Trail,33.45028,-86.86969,2436,44,154,0,4,10,2
386,Sokal Main Trail,33.26601,-87.53466,8976,126,168,0,18,59,2
387,Songo Trail,33.4429,-86.8781,959,36,24,0,2,38,1
388,South Loop,33.21428,-87.45676,5808,76,77,0,8,53,2
389,South Plateau Loop,34.743,-86.50828,17424,177,177,0,18,53,2
390,South Trail,30.78151,-88.09736,16368,21,18,0,2,38,3
391,Sportsman Lake Trail,34.19221,-86.85958,5808,18,20,0,11,19,1
392,Spring Gap Trail,33.4499,-86.87021,3297,58,143,0,2,51,2
393,Squirrels Nest Trail,30.73717,-87.92423,2388,48,46,0,6,24,2
394,Stagecoach Plateau - East,31.21612,-85.45651,3739,114,120,0,6,46,1
395,Stagecoach Plateau - West,31.21182,-85.4568,2594,68,91,0,2,31,1
396,Stebbin's Trail,30.73154,-87.90789,1549,3,40,0,1,28,1
397,Stinger,34.68734,-86.65049,3261,13,21,0,4,42,1
398,Stone Cuts Trail,34.74541,-86.503,4098,208,142,0,11,43,3
399,Stonefly Trail,34.59376,-86.52063,2142,24,71,0,5,13,2
400,Storm Loop Trail,33.31119,-87.68231,6864,193,200,0,12,32,2
401,Storyteller,33.3366,-86.72033,3058,8,464,0,27,19,4
402,Straight UP! #1,34.80637,-87.69917,4078,124,4,0,7,30,2
403,Sublett Circle,34.70691,-86.42511,1611,25,33,0,3,53,2
404,Sugar Tree Trail,34.64662,-86.5311,7920,629,82,0,33,15,3
405,Sunset Hill,33.69999,-85.79874,4508,81,68,0,7,35,1
406,Sweet Shrub Trail,32.55672,-85.4705,2008,18,3,0,2,39,2
407,Switchback Ridge,31.327725,-85.720838,1165,41,72,0,4,39,2
408,T T T,30.69418,-88.20197,8448,31,40,0,10,28,1
409,Talladega,33.62416,-85.88607,7920,283,203,0,22,50,2
410,Tashka Trail,33.28651,-87.68478,41712,1271,1183,1,27,22,2
411,Taylor Mountain,34.38866,-86.19228,8448,145,404,0,11,42,3
412,TCI Connector,33.45385,-86.86454,3300,68,142,0,4,7,1
413,Terrell,34.38508,-86.2062,7920,279,208,0,14,7,3
414,Terry Trail,34.77285,-86.55032,5808,227,46,0,7,3,2
415,The Bottoms Long,30.69672,-88.20038,3202,23,27,0,4,2,2
416,The Chimneys,33.3497,-86.72964,4216,165,56,0,9,23,2
417,The Cockpit Trail,34.7098,-86.64281,5808,32,28,0,7,27,1
418,The Colonel,31.4789,-85.63656,4692,76,120,0,5,29,2
419,The Dam Trail,33.24489,-87.06273,8976,303,300,0,25,7,3
420,The Dummy Line Trail,34.74967,-86.53452,6864,3,299,0,10,20,3
421,The Pip,33.62572,-85.88391,6864,262,428,0,36,7,3
422,The Rock Gym,32.54946,-85.47872,736,46,46,0,3,46,3
423,The Zipper,32.63065,-86.25075,562,3,73,0,0,48,2
424,Thunder,33.32894,-86.73357,7920,33,388,0,17,16,3
425,Tiger Woods,32.55449,-85.46672,5808,129,168,0,10,36,2
426,Tiger Woods Extension,32.55428,-85.46457,1066,6,38,0,2,17,3
427,To Yahou,33.69635,-85.80134,6336,144,113,0,9,59,2
428,To Yahou 2,33.69579,-85.79692,9504,286,247,0,21,11,2
429,TOLAcoaster,32.62896,-86.24674,14256,313,352,0,13,32,2
430,Tollgate Trail,34.74059,-86.55392,9504,676,24,0,7,57,3
431,Tollgate Trail,34.74967,-86.53452,831,16,8,0,1,8,2
432,Tom Bevill,34.37971,-86.21469,17424,406,407,0,23,49,2
433,Tornado Loop Trail,33.30992,-87.682,10560,422,423,0,21,8,2
434,Tortoise,33.64382,-85.85574,14256,924,380,0,25,9,1
435,Tri-County Marker Trail,33.24582,-87.0676,3184,87,123,0,4,38,2
436,Trillium,33.62923,-85.87403,3804,76,169,0,3,53,2
437,Troll,33.26836,-87.53181,3376,41,48,0,4,54,2
438,Troll Holly Connector,33.26338,-87.52963,1214,18,17,0,3,15,2
439,Troy State University Dothan Trails,31.27992,-85.46924,23232,588,589,0,39,43,2
440,Trussville Sports Complex Loop,33.63713,-86.59742,21120,602,601,0,37,28,2
441,Turtleback Ridge,33.18965,-87.00137,3555,116,26,0,8,9,2
442,Two Mountain Trail,34.70339,-86.42105,7920,176,192,0,5,13,2
443,Up or Down?,32.62792,-86.24565,6864,228,229,0,17,34,2
444,Upper Creek,33.26059,-87.52894,1007,18,17,0,1,50,2
445,Upper Mama Bear,33.61429,-85.90493,3623,100,115,0,6,3,1
446,Upper Papa Bear,33.61975,-85.90093,3517,108,163,0,4,51,1
447,Upper Psycho,33.26426,-87.53236,2126,10,19,0,2,26,2
448,Upper Spring,33.488,-85.8109,6336,150,129,0,21,5,1
449,Upper Tucker,34.71406,-86.43358,2461,15,46,0,4,42,1
450,Varnedoe Trail,34.63607,-86.51188,8976,117,253,0,25,26,3
451,Vizzneyland,34.49474,-85.64297,4877,114,136,0,16,19,2
452,WAC,33.69999,-85.79874,5808,71,79,0,5,45,1
453,Wade Mountain,34.82041,-86.59794,10560,492,261,0,38,38,3
454,Wagon Trail,34.72265,-86.54304,11616,196,372,0,22,1,3
455,Waterfall Loop Trail,34.7146,-86.45965,1184,59,24,0,9,52,2
456,Watering Hole,32.62933,-86.26279,2995,59,23,0,7,29,1
457,Watts Trail,34.74073,-86.55401,2240,94,102,0,4,57,3
458,Weeden Loop East,34.67915,-86.6485,8448,112,84,0,14,36,1
459,Weeden Loop West,34.67707,-86.65465,10032,127,80,0,17,35,2
460,West Bluff Trail,34.649,-86.51675,11088,61,113,0,13,30,3
461,West Plateau Trail,34.59408,-86.51789,1716,32,44,0,3,10,1
462,West Ridge,33.32894,-86.73356,8976,49,153,0,27,39,3
463,Westgate Shared 1,31.23762,-85.44777,2329,9,9,0,3,21,1
464,Whitetail,33.18193,-87.02379,4085,158,83,0,10,18,1
465,Wigleyville,33.69688,-85.7977,2677,36,47,0,5,0,2
466,Wild Flower Trail,34.73796,-86.55305,2361,74,12,0,10,23,3
467,Wild Turkey,33.18753,-87.01834,7920,214,207,0,13,39,2
468,Wild Turkey Connect N,33.19104,-87.00971,689,29,34,0,1,32,2
469,Wild Turkey Connect S,33.19093,-87.01097,472,29,19,0,0,43,2
470,Wild West,33.63557,-86.87215,4715,87,95,0,7,11,3
471,William Arthur Wells CCC Memorial Trail (Chestnut Trail),34.74369,-86.50277,633,25,13,0,1,44,2
472,Wilmore Loop,32.56404,-85.46098,8448,419,419,0,12,47,2
473,Witches Brew,34.03844,-86.03964,3117,172,16,0,7,1,1
474,Without A Paddle,33.19482,-86.9983,2405,23,98,0,3,39,2
475,Yellman's Hollow,31.3305,-85.71791,1158,50,28,0,2,51,2
476,YorkTown,33.69991,-85.79704,2418,32,31,0,3,12,2
477,Young - Kennedy Trail,34.72265,-86.54304,7392,78,218,0,19,14,3
478,Zion Cemetery Ridge - East,31.21671,-85.44755,4291,88,29,0,5,38,1
479,Zion Cemetery Ridge - West,31.21103,-85.4465,4938,43,94,0,6,10,1
